SAMPLE	PLATE	COLUMN	ROW	GROUP	CODE	ANCESTRY	SEX	FAMILY_ID	RELATIONSHIP	FLOWCELLS	OUTPUT	READ_N50	NOTES	HAS_SR	base_sample_id	T2T_cram	T2T_crai	T2T_mean_cov	T2T_median_cov	T2T_xy_ratio	T2T_avg_read_identity	T2T_median_read_identity	T2T_N50	T2T_readmass	base_sample_id	GRCh38_cram	GRCh38_crai	GRCh38_mean_cov	GRCh38_median_cov	GRCh38_xy_ratio	GRCh38_avg_read_identity	GRCh38_median_read_identity	GRCh38_N50	GRCh38_readmass
HG00096	initial 8			GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAH77314 PAH77777	79,0	13.482	180009	X	HG00096	/groups/bi-marvl/samples/alignments/T2T/HG00096/alignments/HG00096.cram	/groups/bi-marvl/samples/alignments/T2T/HG00096/alignments/HG00096.cram.crai	24.55	25	1	92.2	95.2	13479	80510799330	HG00096	/groups/bi-marvl/samples/alignments/GRCh38/HG00096/alignments/HG00096.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00096/alignments/HG00096.cram.crai	24.76	25	1	91.5	95	13425	80754208214
HG00098	P05	1	A	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAI07478	37,6	18.145			HG00098	/groups/bi-marvl/samples/alignments/T2T/HG00098/alignments/HG00098.cram	/groups/bi-marvl/samples/alignments/T2T/HG00098/alignments/HG00098.cram.crai	11.61	12	2	93.4	96.3	18164	37465841818	HG00098	/groups/bi-marvl/samples/alignments/GRCh38/HG00098/alignments/HG00098.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00098/alignments/HG00098.cram.crai	11.71	11	1	92.7	96.1	18121	37613194762
HG00099	P05	1	B	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAI07451	54,1	27.208		X	HG00099	/groups/bi-marvl/samples/alignments/T2T/HG00099/alignments/HG00099.cram	/groups/bi-marvl/samples/alignments/T2T/HG00099/alignments/HG00099.cram.crai	16.6	17	42	91.2	94.3	27002	53490181116	HG00099	/groups/bi-marvl/samples/alignments/GRCh38/HG00099/alignments/HG00099.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00099/alignments/HG00099.cram.crai	16.73	17	12	90.5	94	26939	53672433777
HG00100	P05	1	C	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAK08975	48,2	26.186		X	HG00100	/groups/bi-marvl/samples/alignments/T2T/HG00100/alignments/HG00100.cram	/groups/bi-marvl/samples/alignments/T2T/HG00100/alignments/HG00100.cram.crai	15.13	15	40	92.8	96.1	25809	50067257179	HG00100	/groups/bi-marvl/samples/alignments/GRCh38/HG00100/alignments/HG00100.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00100/alignments/HG00100.cram.crai	15.25	15	12	92	95.8	25758	50253939997
HG00101	P05	1	D	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAK09029	40,3	25.377		X	HG00101	/groups/bi-marvl/samples/alignments/T2T/HG00101/alignments/HG00101.cram	/groups/bi-marvl/samples/alignments/T2T/HG00101/alignments/HG00101.cram.crai	12.53	12	1	91.7	95.2	24810	42209573995	HG00101	/groups/bi-marvl/samples/alignments/GRCh38/HG00101/alignments/HG00101.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00101/alignments/HG00101.cram.crai	12.65	12	1	90.6	94.9	24735	42399875239
HG00103	P05	1	E	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAH92067	34,8	29.645		X	HG00103	/groups/bi-marvl/samples/alignments/T2T/HG00103/alignments/HG00103.cram	/groups/bi-marvl/samples/alignments/T2T/HG00103/alignments/HG00103.cram.crai	10.82	11	1	91.8	95.4	29061	36584957065	HG00103	/groups/bi-marvl/samples/alignments/GRCh38/HG00103/alignments/HG00103.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00103/alignments/HG00103.cram.crai	10.94	10	1	90.4	95	28951	36782073156
HG00106	P05	1	F	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAI06349	39,8	40.059		X	HG00106	/groups/bi-marvl/samples/alignments/T2T/HG00106/alignments/HG00106.cram	/groups/bi-marvl/samples/alignments/T2T/HG00106/alignments/HG00106.cram.crai	12.34	12	46	92.3	95.6	39825	40063127921	HG00106	/groups/bi-marvl/samples/alignments/GRCh38/HG00106/alignments/HG00106.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00106/alignments/HG00106.cram.crai	12.46	12	12	91.5	95.4	39576	40340088905
HG00107	P05	1	G	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAK08997	39,7	37.117		X	HG00107	/groups/bi-marvl/samples/alignments/T2T/HG00107/alignments/HG00107.cram	/groups/bi-marvl/samples/alignments/T2T/HG00107/alignments/HG00107.cram.crai	12.36	12	1	92.5	95.9	36762	40486860969	HG00107	/groups/bi-marvl/samples/alignments/GRCh38/HG00107/alignments/HG00107.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00107/alignments/HG00107.cram.crai	12.47	12	1	91.6	95.7	36584	40755680087
HG00111	P05	1	H	GBR	GBR	British From England and Scotland [GBR]	Female		proband	PAK06386 PAM60564	79,4	20.962		X	HG00111	/groups/bi-marvl/samples/alignments/T2T/HG00111/alignments/HG00111.cram	/groups/bi-marvl/samples/alignments/T2T/HG00111/alignments/HG00111.cram.crai	24.59	25	43	92.9	95.8	20576	81156544080	HG00111	/groups/bi-marvl/samples/alignments/GRCh38/HG00111/alignments/HG00111.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00111/alignments/HG00111.cram.crai	24.82	25	12	92	95.6	20512	81554277359
HG00114	P05	2	A	GBR	GBR	British From England and Scotland [GBR]	Male		proband	PAI96707	63,4	38.121		X	HG00114	/groups/bi-marvl/samples/alignments/T2T/HG00114/alignments/HG00114.cram	/groups/bi-marvl/samples/alignments/T2T/HG00114/alignments/HG00114.cram.crai	19.71	20	1	93.4	96.6	37501	64837226179	HG00114	/groups/bi-marvl/samples/alignments/GRCh38/HG00114/alignments/HG00114.cram	/groups/bi-marvl/samples/alignments/GRCh38/HG00114/alignments/HG00114.cram.crai	19.91	20	1	92	96.3	37253	65398179697
