sample	family	pop	super	gender	relationship	project
HG00096	HG00096	GBR	EUR	male	unrel	1kGP
HG00099	HG00099	GBR	EUR	female	unrel	1kGP
HG00100	HG00100	GBR	EUR	female	unrel	1kGP
HG00101	HG00101	GBR	EUR	male	unrel	1kGP
HG00103	HG00103	GBR	EUR	male	unrel	1kGP
HG00106	HG00106	GBR	EUR	female	unrel	1kGP
HG00107	HG00107	GBR	EUR	male	unrel	1kGP
HG00111	HG00111	GBR	EUR	female	unrel	1kGP
HG00114	HG00114	GBR	EUR	male	unrel	1kGP
HG00117	HG00117	GBR	EUR	male	unrel	1kGP
HG00120	HG00120	GBR	EUR	female	unrel	1kGP
HG00123	HG00123	GBR	EUR	female	unrel	1kGP
HG00125	HG00125	GBR	EUR	female	unrel	1kGP
HG00128	HG00128	GBR	EUR	female	unrel	1kGP
HG00129	HG00129	GBR	EUR	male	unrel	1kGP
HG00130	HG00130	GBR	EUR	female	unrel	1kGP
HG00131	HG00131	GBR	EUR	male	unrel	1kGP
HG00133	HG00133	GBR	EUR	female	unrel	1kGP
HG00137	HG00137	GBR	EUR	female	unrel	1kGP
HG00139	HG00139	GBR	EUR	male	unrel	1kGP
HG00141	HG00141	GBR	EUR	male	unrel	1kGP
HG00146	GBR002	GBR	EUR	female	child	1kGP
HG00148	HG00148	GBR	EUR	male	unrel	1kGP
HG00149	HG00149	GBR	EUR	male	unrel	1kGP
HG00157	HG00157	GBR	EUR	male	unrel	1kGP
HG00158	GBR003	GBR	EUR	female	mother	1kGP
HG00159	HG00159	GBR	EUR	male	unrel	1kGP
HG00171	HG00171	FIN	EUR	female	unrel	1kGP
HG00173	HG00173	FIN	EUR	female	unrel	1kGP
HG00188	HG00188	FIN	EUR	male	unrel	1kGP
HG00190	HG00190	FIN	EUR	male	unrel	1kGP
HG00235	HG00235	GBR	EUR	female	unrel	1kGP
HG00242	HG00242	GBR	EUR	male	unrel	1kGP
HG00243	HG00243	GBR	EUR	male	unrel	1kGP
HG00252	HG00252	GBR	EUR	male	unrel	1kGP
HG00254	HG00254	GBR	EUR	female	unrel	1kGP
HG00255	HG00255	GBR	EUR	female	unrel	1kGP
HG00258	HG00258	GBR	EUR	female	unrel	1kGP
HG00261	HG00261	GBR	EUR	female	unrel	1kGP
HG00268	HG00268	FIN	EUR	female	unrel	1kGP
HG00269	HG00269	FIN	EUR	female	unrel	1kGP
HG00271	HG00271	FIN	EUR	male	unrel	1kGP
HG00273	HG00273	FIN	EUR	male	unrel	1kGP
HG00274	HG00274	FIN	EUR	female	unrel	1kGP
HG00278	HG00278	FIN	EUR	male	unrel	1kGP
HG00282	HG00282	FIN	EUR	female	unrel	1kGP
HG00284	HG00284	FIN	EUR	male	unrel	1kGP
HG00311	HG00311	FIN	EUR	male	unrel	1kGP
HG00313	HG00313	FIN	EUR	female	unrel	1kGP
HG00315	HG00315	FIN	EUR	female	unrel	1kGP
HG00321	HG00321	FIN	EUR	male	unrel	1kGP
HG00323	HG00323	FIN	EUR	female	unrel	1kGP
HG00324	HG00324	FIN	EUR	female	unrel	1kGP
HG00325	HG00325	FIN	EUR	male	unrel	1kGP
HG00334	HG00334	FIN	EUR	female	unrel	1kGP
HG00335	HG00335	FIN	EUR	male	unrel	1kGP
HG00336	HG00336	FIN	EUR	male	unrel	1kGP
HG00338	HG00338	FIN	EUR	male	unrel	1kGP
HG00342	HG00342	FIN	EUR	male	unrel	1kGP
HG00346	HG00346	FIN	EUR	female	unrel	1kGP
HG00349	HG00349	FIN	EUR	female	unrel	1kGP
HG00357	HG00357	FIN	EUR	female	unrel	1kGP
HG00360	HG00360	FIN	EUR	male	unrel	1kGP
HG00361	HG00361	FIN	EUR	female	unrel	1kGP
HG00365	HG00365	FIN	EUR	female	unrel	1kGP
HG00367	HG00367	FIN	EUR	female	unrel	1kGP
HG00368	HG00368	FIN	EUR	female	unrel	1kGP
HG00378	HG00378	FIN	EUR	female	unrel	1kGP
HG00381	HG00381	FIN	EUR	female	unrel	1kGP
HG00404	SH001	CHS	EAS	female	mother	1kGP
HG00407	SH002	CHS	EAS	female	mother	1kGP
HG00409	SH003	CHS	EAS	male	father	1kGP
HG00419	SH006	CHS	EAS	female	mother	1kGP
