sample	pop	sex
HG00096	GBR	Male
HG00171	FIN	Female
HG00759	CDX	Female
HG01119	CLM	Female
HG01985	ACB	Female
HG02105	PEL	Female
HG03009	BEB	Male
HG03171	ESN	Female
HG00130	GBR	Female
HG00139	GBR	Male
HG00148	GBR	Male
HG00173	FIN	Female
HG00247	GBR	Female
HG00278	FIN	Male
HG00342	FIN	Male
HG00377	FIN	Female
HG00443	CHS	Female
HG00464	CHS	Female
HG00583	CHS	Male
HG00650	CHS	Male
HG00766	CDX	Female
HG00844	CDX	Male
HG01058	PUR	Female
HG01108	PUR	Female
HG01124	CLM	Male
HG01148	CLM	Male
HG01242	PUR	Female
HG01259	CLM	Male
HG01341	CLM	Male
HG01366	CLM	Female
HG01390	CLM	Female
HG01392	PUR	Male
HG01396	PUR	Female
HG01589	PJL	Male
HG01676	IBS	Female
HG01700	IBS	Male
HG01765	IBS	Male
HG01773	IBS	Female
HG01791	GBR	Male
HG01796	CDX	Female
HG01863	KHV	Female
HG01915	ACB	Female
HG01932	PEL	Male
HG01942	PEL	Female
HG01945	PEL	Female
HG01988	ACB	Male
HG01992	PEL	Female
HG02009	ACB	Male
HG02013	ACB	Male
HG02079	KHV	Male
HG02111	ACB	Female
HG02128	KHV	Male
HG02133	KHV	Female
HG02137	KHV	Male
HG02143	ACB	Male
HG02146	PEL	Male
HG02152	CDX	Female
HG02180	CDX	Female
HG02224	IBS	Male
HG02239	IBS	Female
HG02265	PEL	Male
HG02490	PJL	Male
HG02496	ACB	Male
HG02521	KHV	Male
HG02554	ACB	Male
HG02580	ACB	Female
HG02604	PJL	Female
HG02737	PJL	Female
HG02805	GWD	Female
HG02836	GWD	Male
HG02922	ESN	Female
HG02938	ESN	Male
HG02943	ESN	Female
HG02971	ESN	Male
HG03073	MSL	Female
HG03081	MSL	Male
HG03097	MSL	Female
HG03108	ESN	Female
HG03114	ESN	Female
HG03115	ESN	Male
HG03189	ESN	Female
HG03238	PJL	Female
HG03361	ESN	Male
HG03394	MSL	Male
HG03461	MSL	Female
HG03476	MSL	Female
HG03521	ESN	Male
HG03548	MSL	Female
HG03577	MSL	Male
HG03582	MSL	Male
HG03595	BEB	Female
HG03604	BEB	Female
HG03607	BEB	Female
HG03687	STU	Male
HG03793	BEB	Female
HG03797	BEB	Male
HG03837	STU	Male
HG03863	ITU	Female
HG03972	ITU	Female
HG04039	STU	Male
HG04062	ITU	Female
HG04128	BEB	Male
HG04149	BEB	Male
HG00404	CHS	Female
HG00407	CHS	Female
HG00409	CHS	Male
HG00418	CHS	Male
HG00419	CHS	Female
HG00420	CHS	Male
HG00427	CHS	Male
HG00436	CHS	Male
HG00442	CHS	Male
HG00446	CHS	Female
HG00449	CHS	Female
HG00452	CHS	Female
HG00472	CHS	Male
HG00475	CHS	Male
HG00479	CHS	Female
HG00513	CHS	Female
HG00530	CHS	Male
HG00537	CHS	Female
HG00565	CHS	Male
HG00566	CHS	Female
HG00584	CHS	Female
HG00589	CHS	Male
HG00596	CHS	Female
HG00607	CHS	Male
HG00608	CHS	Female
HG00610	CHS	Male
HG00619	CHS	Male
